time,x,y,z
14.555,-0.08,0.02,-0.06
14.576,-0.04,0.09,-0.02
14.595,0.03,0.20,-0.02
14.616,0.01,0.11,-0.07
14.635,-0.03,-0.05,-0.06
14.655,-0.05,-0.08,-0.05
14.676,0.02,0.02,0.01
14.695,-0.01,0.07,-0.06
14.716,-0.01,0.05,-0.06
14.735,-0.08,0.03,-0.09
14.754,-0.09,0.07,-0.02
14.775,0.01,0.04,0.01
14.795,-0.03,0.04,-0.06
14.815,0.07,0.02,-0.06
14.835,0.01,0.05,-0.07
14.856,0.03,0.12,-0.01
14.876,-0.01,0.14,-0.02
14.896,0.09,0.29,-0.05
14.915,0.14,0.72,-0.06
14.935,0.19,0.86,0.01
14.956,0.07,0.53,-0.03
14.975,-0.01,0.26,-0.03
14.996,-0.12,-0.06,-0.09
15.015,-0.18,-0.32,-0.09
15.036,-0.14,-0.51,-0.03
15.056,-0.16,-0.62,-0.04
15.076,-0.15,-0.63,-0.04
15.096,-0.08,-0.46,-0.03
15.116,-0.06,-0.13,-0.07
15.136,0.02,0.12,-0.02
15.155,-0.04,0.08,-0.02
15.176,-0.03,0.08,-0.07
15.197,0.07,0.25,-0.04
15.216,0.05,0.18,-0.07
15.236,0.05,0.09,0.01
15.257,0.00,0.05,-0.04
15.276,-0.04,-0.02,-0.07
15.297,-0.07,-0.10,-0.07
15.316,-0.08,-0.11,-0.05
15.337,-0.05,-0.09,-0.03
15.357,-0.09,-0.07,-0.04
15.377,-0.01,0.03,-0.04
15.396,-0.01,0.03,-0.03
15.416,-0.03,0.03,-0.07
15.436,0.03,0.03,-0.02
15.457,-0.04,0.01,-0.07
15.476,-0.04,0.02,-0.07
15.497,-0.02,0.05,-0.05
15.517,-0.02,0.05,-0.02
